movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
신은 죽지 않았다 2,147054.0,9.56,4.0,8.15
십계: 구원의 길,153941.0,8.31,3.0,6.81
테이큰 비긴즈,140606.0,0.0,0.0,4.32
공각기동대 신극장판,140804.0,7.67,0.0,8.22
마인,131000.0,0.0,0.0,0.0
콜리션,148390.0,10.0,0.0,5.93
비스티걸스,151152.0,0.0,0.0,3.74
덫,145246.0,0.0,0.0,4.43
블랙 쉐도우,158691.0,7.0,2.0,4.55
더 가디언즈,143937.0,0.0,0.0,4.57
헤드윅,31827.0,9.46,0.0,9.2
아메리칸 허니: 방황하는 별의 노래,140214.0,7.56,7.5,7.81
숨바꼭질: 어둠의 속삭임,135428.0,0.0,0.0,4.04
위시 어폰,154262.0,7.63,3.5,7.19
내가 죽기 전에 가장 듣고 싶은 말,142634.0,0.0,5.33,8.46
직지코드,154669.0,8.57,6.0,8.91
고잉 인 스타일,140300.0,0.0,0.0,0.0
우리를 침범하는 것들,129055.0,7.67,6.0,7.34
캡틴 아메리카: 시빌 워,122527.0,8.83,7.5,8.67
인시디어스4: 라스트 키,158647.0,7.32,5.33,6.85
12 솔져스,168037.0,9.66,5.0,8.14
패딩턴 2,146489.0,9.13,7.67,9.12
올 더 머니,163842.0,8.52,7.0,7.96
곤지암,172454.0,7.51,6.33,6.46
추룡,159092.0,6.7,0.0,4.0
타이타닉,18847.0,9.86,9.33,9.32
연애담,149481.0,8.93,7.0,7.46
클로버필드 패러독스,163813.0,0.0,0.0,0.0
셰이프 오브 워터: 사랑의 모양,158626.0,8.68,8.18,8.36
50가지 그림자: 해방,154598.0,8.37,2.67,7.95
베러 와치 아웃,156532.0,7.27,5.67,6.0
맨헌트,166463.0,8.17,3.67,4.41
종이비행기,149629.0,9.5,3.0,6.96
클로버필드 10번지,134856.0,7.46,7.17,7.56
겨울왕국의 무민,163850.0,7.43,6.0,7.48
더 하우스 : 악령의 집,172591.0,0.0,0.0,5.41
명탐정 코난 : 감벽의 관,66725.0,8.59,5.0,8.42
오직 사랑뿐,151715.0,8.52,6.0,8.48
스트롱홀드: 최후의 전사,172587.0,6.89,0.0,5.0
킬러의 보이프렌드,165450.0,0.0,0.0,6.83
마야2,172009.0,9.14,6.0,9.36
궁합,141206.0,7.49,4.0,6.48
블레이드 러너,10962.0,9.26,9.5,8.73
클로버필드,68537.0,0.0,7.0,6.99
비밥바룰라,151254.0,9.23,5.0,8.98
서버비콘,144130.0,8.19,6.0,7.18
스테이션 7,165751.0,9.2,6.6,8.71
쓰리 빌보드,158610.0,9.04,8.2,8.86
신과함께 2,167697.0,8.63,6.31,7.72
B급 며느리,162153.0,9.03,5.4,8.12
라라,171768.0,8.0,3.0,6.97
더 포스트,159848.0,8.81,7.63,8.76
나미야 잡화점의 기적,159862.0,7.66,5.75,7.34
환절기,148647.0,8.6,5.4,8.09
지구: 놀라운 하루,168418.0,9.38,6.67,9.42
숲속의 부부,165452.0,10.0,0.0,5.43
치즈인더트랩,153620.0,7.54,4.0,5.14
마셜,154296.0,0.0,0.0,0.0
"아이, 토냐",154293.0,8.73,7.75,8.38
게이트,172005.0,9.05,3.0,3.65
퍼시픽 림: 업라이징,125494.0,7.96,5.6,6.73
레지던트 이블: 파멸의 날,110333.0,8.59,6.0,8.38
모아나,130849.0,9.22,6.4,9.15
딥워터 호라이즌,137346.0,8.77,6.5,8.06
얼라이드,149777.0,8.58,6.5,8.86
라이언,134841.0,9.3,6.5,9.18
트리플 엑스 리턴즈,102278.0,8.18,0.0,6.99
일본 엄마,158466.0,0.0,0.0,6.76
맛있는 워킹걸,158764.0,0.0,0.0,3.67
50가지 그림자: 심연,144081.0,7.77,2.25,7.42
뚜르: 내 생애 최고의 49일,142304.0,9.51,6.2,9.23
여교사,139673.0,7.31,6.78,6.61
매기스 플랜,136859.0,8.07,6.86,7.91
스노든,134887.0,8.86,5.83,8.75
퍼스널 쇼퍼,144221.0,7.55,6.89,7.06
명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849.0,0.0,0.0,6.48
문영,144578.0,8.53,5.33,8.48
더 큐어,143372.0,7.33,6.2,7.25
사랑의 시대,146374.0,7.93,6.83,7.6
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050.0,8.76,0.0,8.84
레고 배트맨 무비,132627.0,8.7,6.67,8.55
터닝메카드W: 블랙미러의 부활,155484.0,8.87,0.0,8.73
사랑하기 때문에,140010.0,8.39,6.0,8.03
판도라,132933.0,8.78,5.92,8.3
멜라니: 인류의 마지막 희망인 소녀,144986.0,0.0,0.0,0.0
블랙,68567.0,9.42,6.93,9.04
닥터 스트레인지,125459.0,8.88,7.03,8.71
아빠는 포르노스타,156636.0,0.0,0.0,0.0
빌리 린스 롱 하프타임 워크,136849.0,0.0,0.0,0.0
이탈리안 레이스,149027.0,10.0,5.0,8.44
아무도 모른다,38546.0,8.9,8.0,8.85
바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,158266.0,8.3,0.0,8.27
발레리나,130984.0,8.95,0.0,8.52
은하,138209.0,0.0,0.0,4.22
쿵푸 요가,158094.0,9.03,0.0,5.88
랜드 오브 마인,144100.0,9.28,7.0,9.19
패션 오브 크라이스트,38197.0,0.0,0.0,8.6
"다시, 벚꽃",160944.0,9.57,6.5,9.13
미스 슬로운,142632.0,9.32,6.83,9.28
펜스,154265.0,0.0,0.0,0.0
리틀 프린세스 소피아: 신비한 섬,165514.0,8.64,0.0,8.5
리볼트,167604.0,0.0,0.0,0.0
장기왕: 가락시장 레볼루션,146530.0,9.0,4.0,7.95
"그래, 가족",151192.0,9.26,4.5,8.33
아이보이,158563.0,0.0,0.0,0.0
마이펫 오지,157500.0,8.08,0.0,8.24
미인어,127383.0,7.96,6.0,7.95
레이디버그,157564.0,6.64,0.0,6.0
마영정: 상해야인시대,102638.0,0.0,0.0,7.41
녹터널 애니멀스,143409.0,8.36,7.0,8.14
아이덴티티,36992.0,0.0,0.0,9.07
스페이스 워,158452.0,0.0,0.0,0.0
재키,144990.0,7.42,6.4,7.09
언프렌드,146361.0,7.12,0.0,5.24
가족의 재구성,158634.0,0.0,0.0,7.44
제리 맥과이어,17942.0,0.0,8.0,9.15
6 데이즈,140288.0,0.0,0.0,0.0
어 퍼펙트 데이,137963.0,8.08,6.33,7.98
시인의 사랑,158252.0,8.25,6.14,8.06
시큐리티,143463.0,0.0,0.0,5.05
삼생삼세십리도화,144216.0,0.0,0.0,6.87
특이점이 온 영화,155563.0,0.0,0.0,6.41
시티 워: 익스트림 킬러,138370.0,0.0,0.0,5.32
"나, 다니엘 블레이크",150376.0,9.28,8.4,9.25
신비한 동물사전,115642.0,8.69,7.08,8.18
베를린 신드롬,158864.0,4.8,4.5,6.01
하이큐!! 끝과 시작,140803.0,9.11,0.0,8.91
파워배틀 와치카: 와치가면의 역습,162933.0,8.49,4.0,8.42
바람의 춤꾼,162260.0,9.5,10.0,9.35
캐리비안의 해적: 낯선 조류,51443.0,0.0,6.08,8.1
애로우헤드,163014.0,0.0,0.0,0.0
워 머신,143366.0,0.0,0.0,0.0
몬스터 트럭,125469.0,0.0,0.0,0.0
애프터매스,158665.0,0.0,4.5,6.11
안해,159554.0,0.0,0.0,4.38
지금은맞고그때는틀리다,140199.0,8.43,8.45,6.46
단지 세상의 끝,137958.0,7.66,6.9,7.46
사슬-두여자의유혹,159559.0,0.0,0.0,6.0
얼라이브,144323.0,0.0,0.0,6.94
더 와처스: 비기닝,161343.0,0.0,0.0,5.32
기동순찰대,147035.0,0.0,0.0,0.0
