rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
6,6,0,NEW,20175441,채비,2017-11-09,90017700,4.2,90017700,100,129032700,13267,13267,100,18454,452,1149,2017-11-09
7,7,-2,OLD,20169643,침묵,2017-11-02,81648200,3.8,-133697500,-62.1,3233386164,11184,-17872,-61.5,407888,410,904,2017-11-09
8,8,67,OLD,20179942,러빙 빈센트,2017-11-09,52621500,2.5,52349500,19246.1,81917300,6918,6884,20247.1,10246,241,429,2017-11-09
9,9,-3,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,40031700,1.9,-23760700,-37.2,2977529300,5087,-3110,-37.9,375884,147,349,2017-11-09
10,10,0,NEW,20173931,리빙보이 인 뉴욕,2017-11-09,33777400,1.6,33777400,100,53609900,4417,4417,100,7035,158,513,2017-11-09
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,673951200,22.7,278933600,70.6,31459571331,79054,27714,54,3896278,740,3116,2017-11-10
2,2,1,OLD,20174622,해피 데스데이,2017-11-08,611694986,20.6,241555986,65.3,1327677786,73194,24501,50.3,167534,510,2371,2017-11-10
3,3,1,OLD,20172603,부라더,2017-11-02,480532472,16.2,136152472,39.5,8187491908,60262,12689,26.7,1035416,713,3039,2017-11-10
4,4,-2,OLD,20161681,미옥,2017-11-09,337641286,11.4,-34048914,-9.2,730230486,40934,-9619,-19,94110,635,3109,2017-11-10
5,5,0,OLD,20172742,범죄도시,2017-10-03,312369628,10.5,108704928,53.4,53505845539,36787,9959,37.1,6540064,517,1523,2017-11-10
6,6,1,OLD,20169643,침묵,2017-11-02,110424100,3.7,28775900,35.2,3343810264,13489,2305,20.6,421377,427,922,2017-11-10
7,7,-1,OLD,20175441,채비,2017-11-09,97239786,3.3,7222086,8,226272486,12780,-487,-3.7,31234,462,1143,2017-11-10
8,8,0,OLD,20179942,러빙 빈센트,2017-11-09,75455100,2.5,22833600,43.4,157372400,9042,2124,30.7,19288,260,458,2017-11-10
9,9,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,59316400,2.0,19284700,48.2,3036845700,6877,1790,35.2,382761,149,360,2017-11-10
10,10,0,OLD,20173931,리빙보이 인 뉴욕,2017-11-09,38348200,1.3,4570800,13.5,91958100,4448,31,0.7,11483,153,481,2017-11-10
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,1813556000,27.3,1139604800,169.1,33273127331,213813,134759,170.5,4110091,856,3621,2017-11-11
2,2,0,OLD,20174622,해피 데스데이,2017-11-08,1506169812,22.7,894474826,146.2,2833847598,181615,108421,148.1,349149,651,2809,2017-11-11
3,3,0,OLD,20172603,부라더,2017-11-02,1108031190,16.7,627498718,130.6,9295523098,133987,73725,122.3,1169403,728,3200,2017-11-11
4,4,1,OLD,20172742,범죄도시,2017-10-03,639784910,9.6,327415282,104.8,54145630449,73842,37055,100.7,6613906,540,1591,2017-11-11
5,5,-1,OLD,20161681,미옥,2017-11-09,469104778,7.1,131463492,38.9,1199335264,55584,14650,35.8,149694,609,2931,2017-11-11
6,6,0,OLD,20169643,침묵,2017-11-02,211117900,3.2,100693800,91.2,3554928164,25071,11582,85.9,446448,414,831,2017-11-11
7,7,0,OLD,20175441,채비,2017-11-09,177285878,2.7,80046092,82.3,403558364,22888,10108,79.1,54122,469,1072,2017-11-11
8,8,4,OLD,20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,2017-11-09,125815500,1.9,112734500,861.8,175106000,16582,14880,874.3,22656,351,628,2017-11-11
9,9,-1,OLD,20179942,러빙 빈센트,2017-11-09,132613600,2.0,57158500,75.8,289986000,15766,6724,74.4,35054,257,444,2017-11-11
10,10,-1,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,133459700,2.0,74143300,125,3170305400,15570,8693,126.4,398331,157,378,2017-11-11
1,1,0,OLD,20175121,토르: 라그나로크,2017-10-25,1457937500,25.9,-355618500,-19.6,34731064831,172871,-40942,-19.1,4282962,832,3517,2017-11-12
2,2,0,OLD,20174622,해피 데스데이,2017-11-08,1318357800,23.4,-187812012,-12.5,4152205398,157596,-24019,-13.2,506745,714,2987,2017-11-12
3,3,0,OLD,20172603,부라더,2017-11-02,935964600,16.6,-172066590,-15.5,10231487698,112963,-21024,-15.7,1282366,725,3126,2017-11-12
4,4,0,OLD,20172742,범죄도시,2017-10-03,550348200,9.8,-89436710,-14,54695978649,63384,-10458,-14.2,6677290,535,1578,2017-11-12
5,5,0,OLD,20161681,미옥,2017-11-09,362828900,6.4,-106275878,-22.7,1562164164,43168,-12416,-22.3,192862,583,2597,2017-11-12
6,6,0,OLD,20169643,침묵,2017-11-02,189481900,3.4,-21636000,-10.2,3744410064,22486,-2585,-10.3,468934,412,797,2017-11-12
7,7,0,OLD,20175441,채비,2017-11-09,164313600,2.9,-12972278,-7.3,567871964,20766,-2122,-9.3,74888,462,1027,2017-11-12
8,8,0,OLD,20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,2017-11-09,137869600,2.4,12054100,9.6,312975600,18055,1473,8.9,40711,370,671,2017-11-12
9,9,0,OLD,20179942,러빙 빈센트,2017-11-09,130354500,2.3,-2259100,-1.7,420340500,15600,-166,-1.1,50654,271,464,2017-11-12
10,10,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,110403900,2.0,-23055800,-17.3,3280709300,12810,-2760,-17.7,411141,159,371,2017-11-12
1,1,1,OLD,20174622,해피 데스데이,2017-11-08,385313400,23.1,-933044400,-70.8,4537518798,50167,-107429,-68.2,556912,598,2740,2017-11-13
2,2,-1,OLD,20175121,토르: 라그나로크,2017-10-25,315686400,19.0,-1142251100,-78.3,35046751231,41186,-131685,-76.2,4324148,733,3052,2017-11-13
3,3,0,OLD,20172603,부라더,2017-11-02,233227100,14.0,-702737500,-75.1,10464714798,31606,-81357,-72,1313972,645,2806,2017-11-13
4,4,0,OLD,20172742,범죄도시,2017-10-03,186982300,11.2,-363365900,-66,54882960949,24824,-38560,-60.8,6702114,521,1576,2017-11-13
5,5,0,OLD,20161681,미옥,2017-11-09,123781500,7.4,-239047400,-65.9,1685945664,16872,-26296,-60.9,209734,531,2315,2017-11-13
6,6,1,OLD,20175441,채비,2017-11-09,79222100,4.8,-85091500,-51.8,647094064,11278,-9488,-45.7,86166,459,1069,2017-11-13
7,7,2,OLD,20179942,러빙 빈센트,2017-11-09,61416400,3.7,-68938100,-52.9,481756900,8270,-7330,-47,58924,261,512,2017-11-13
8,8,-2,OLD,20169643,침묵,2017-11-02,59529900,3.6,-129952000,-68.6,3803939964,8025,-14461,-64.3,476959,391,808,2017-11-13
9,9,0,NEW,20165748,꾼,2017-11-22,46535500,2.8,46535500,100,70143500,5463,5463,100,8414,13,17,2017-11-13
10,10,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,30766700,1.8,-79637200,-72.1,3311476000,3938,-8872,-69.3,415079,153,358,2017-11-13
