0,1,2,3,4
지금은맞고그때는틀리다,140199.0,8.43,8.45,6.46
단지 세상의 끝,137958.0,7.66,6.9,7.46
사슬-두여자의유혹,159559.0,0.0,0.0,6.0
얼라이브,144323.0,0.0,0.0,6.94
더 와처스: 비기닝,161343.0,0.0,0.0,5.32
기동순찰대,147035.0,0.0,0.0,0.0
토마스와 친구들: 수수께끼 해적선과 보물찾기,148994.0,7.88,6.0,7.83
주키퍼스 와이프,143489.0,8.58,6.0,8.37
나의 엔젤,162200.0,,,
딥,163663.0,,,
가을 우체국,162415.0,,,
투 이즈 어 패밀리,156194.0,,,
"괜찮아요, 미스터 브래드",163832.0,,,
튤립 피버,125418.0,,,
세 번째 살인,166583.0,,,
러브레터,19031.0,,,
"안녕, 나의 소울메이트",156912.0,,,
스노우맨,124263.0,,,
섹스타시,170708.0,,,
메리 크리스마스 미스터 모,149289.0,,,
무서운 꿈,170236.0,,,
정글,158623.0,,,
쥬라기 월드: 폴른 킹덤,154285.0,,,
러브 액츄얼리,36843.0,,,
스페이스 비트윈 어스,143437.0,,,
옆집소녀,161365.0,,,
콜로니아,129093.0,,,
아우토반,110379.0,,,
블리드 포 디스,130986.0,,,
나는 사랑과 시간과 죽음을 만났다,140792.0,,,
토니 에드만,150371.0,,,
패트와 매트: 뚝딱뚝딱 대소동,152491.0,,,
청불학원,158897.0,,,
오버 더 펜스 ,154540.0,,,
오즈: 신기한 마법가루,165029.0,,,
돈 슬립,161988.0,,,
암고양이들,160673.0,,,
퍼스트 킬,162823.0,,,
인셉션,52515.0,,,
인터스텔라,45290.0,,,
100미터,149048.0,,,
행복 목욕탕,154029.0,,,
나이트 라이즈,158487.0,,,
링스,137909.0,,,
원스텝,146503.0,,,
대역전,148961.0,,,
로봇 오버로드,119448.0,,,
데이라이트 엔드: 인류멸망의 날,149829.0,,,
파이널 크루: 칸우 탈출작전,158402.0,,,
드래곤: 용의 신부,154045.0,,,
오텁시 오브 제인 도,154461.0,,,
다른 길이 있다,134976.0,,,
초속5센티미터,66820.0,,,
몬스터콜,125401.0,,,
씽,144938.0,,,
돈키호테 맨 오브 라만차,130931.0,,,
더 리더: 책 읽어주는 남자,45298.0,,,
반지의 제왕: 왕의 귀환,31796.0,,,
언어의 정원,106335.0,,,
잭 리처: 네버 고 백,119412.0,,,
빌리 엘리어트,31013.0,,,
용의 치과의사,163503.0,,,
아웃도어 비긴즈,151155.0,,,
스코어: 영화음악의 모든 것,161129.0,,,
음양팔괘장: 6인의 고수,158494.0,,,
극장판 마이 리틀 포니: 이퀘스트리아 걸스,109606.0,,,
추격자: 침묵의 살인,80127.0,,,
눈의 여왕3: 눈과 불의 마법대결,156675.0,,,
로그 원: 스타워즈 스토리,136868.0,,,
"당신, 거기 있어줄래요",145292.0,,,
에곤 쉴레: 욕망이 그린 그림,154307.0,,,
미공하행동,153656.0,,,
소시민,123678.0,,,
7년-그들이 없는 언론,146526.0,,,
시간을 달리는 소녀,63513.0,,,
더 걸 온 더 트레인,142255.0,,,
서펀트: 죽음의 협곡,165529.0,,,
말괄량이 마녀 로비와 숲 속 친구들,168995.0,,,
베이워치: SOS 해상 구조대,104440.0,,,
빅풋 주니어,165025.0,,,
극장판 도라에몽:진구의 남극 꽁꽁 대모험,153279.0,,,
혹성탈출: 반격의 서막,99740.0,,,
미션 이스탄불,147835.0,,,
내일의 안녕,142330.0,,,
혹성탈출: 진화의 시작,80629.0,,,
밤섬해적단 서울불바다,160261.0,,,
애나벨,127338.0,,,
하이큐!! 승자와 패자,155963.0,,,
낮잠 공주 : 모르는 나의 이야기,159683.0,,,
컨저링,92823.0,,,
화이트 릴리,154053.0,,,
라이트 아웃,144918.0,,,
스플릿,146512.0,,,
용의자,93028.0,,,
키코리키: 황금모자의 비밀,148946.0,,,
