director,movieCd,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
가스 데이비스,20167324,라이언,134841.0,9.3,6.5,9.18
피터 버그,20168154,딥워터 호라이즌,137346.0,8.77,6.5,8.06
타카하시 와타루,20167285,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050.0,8.76,0.0,8.84
김석원,20163845,터닝메카드W: 블랙미러의 부활,155484.0,8.87,0.0,8.73
드니 빌뇌브,20179281,컨택트,136869.0,8.45,7.29,8.19
레베카 밀러,20165822,매기스 플랜,136859.0,8.07,6.86,7.91
크리스 맥케이,20162873,레고 배트맨 무비,132627.0,8.7,6.67,8.55
전일우,20154342,뚜르: 내 생애 최고의 49일,142304.0,9.51,6.2,9.23
에릭 섬머,20167644,발레리나,130984.0,8.95,0.0,8.52
D.J. 카루소,20167716,트리플 엑스 리턴즈,102278.0,8.18,0.0,6.99
야마모토 야스이치로,20178881,명탐정 코난: 에피소드 원-작아진 명탐정,158849.0,0.0,0.0,6.48
제임스 폴리,20161141,50가지 그림자: 심연,144081.0,7.77,2.25,7.42
장예모,20163580,그레이트 월,126034.0,7.92,4.5,6.44
고어 버빈스키,20167362,더 큐어,143372.0,7.33,6.2,7.25
마대윤,20161366,"그래, 가족",151192.0,9.26,4.5,8.33
알베르토 로드리게즈,20167906,마이펫 오지,157500.0,8.08,0.0,8.24
이주영,20161723,싱글라이더,146459.0,8.01,5.9,8.23
김준성,20156562,루시드 드림,130713.0,8.06,3.0,5.86
멜 깁슨,20167922,핵소 고지,142305.0,9.19,6.0,9.2
조의석,20161725,마스터,145162.0,8.65,5.77,8.1
가렛 에드워즈,20163183,로그 원: 스타워즈 스토리,136868.0,8.34,7.16,8.45
가스 제닝스,20162025,씽,144938.0,8.99,6.71,8.96
박정우,20144641,판도라,132933.0,8.78,5.92,8.3
유야마 쿠니히코,20162727,루돌프와 많이있어,153951.0,8.73,6.38,8.8
유야마 쿠니히코,20162183,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,152265.0,8.74,0.0,8.75
홍지영,20152371,"당신, 거기 있어줄래요",145292.0,8.8,5.44,8.69
야쿠와 신노스케,20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,141675.0,8.95,0.0,9.04
롭 라이너,19890291,해리가 샐리를 만났을 때,10250.0,7.75,8.5,8.91
켄 로치,20161763,"나, 다니엘 블레이크",150376.0,9.28,8.4,9.25
김진혁,20163014,7년-그들이 없는 언론,146526.0,9.48,6.0,8.51
모튼 틸덤,20161084,패신저스,116233.0,8.03,5.5,7.95
주지홍,20150966,사랑하기 때문에,140010.0,8.39,6.0,8.03
알렉세이 트시칠린,20165153,눈의 여왕 3: 눈과 불의 마법대결,156675.0,8.34,0.0,8.57
김태용,20151181,여교사,139673.0,7.31,6.78,6.61
저스틴 커젤,20164421,어쌔신 크리드,118307.0,7.29,5.67,7.1
로버트 저메키스,20168381,얼라이드,149777.0,8.58,6.5,8.86
피터 잭슨,20168324,반지의 제왕 : 반지원정대 (확장판),31794.0,0.0,0.0,9.28
피터 잭슨,20168664,반지의 제왕 : 두개의 탑 (확장판),31795.0,0.0,0.0,9.34
자비에 돌란,20163186,단지 세상의 끝,137958.0,7.66,6.9,7.46
피터 잭슨,20168689,반지의 제왕 : 왕의 귀환 (확장판),31796.0,0.0,0.0,9.37
다라 오코넬,20168366,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,158266.0,8.3,0.0,8.27
